"author_list";"title";"journal";"year";"language";"language_comments";"evidence_point_ID";"country";"country_comments";"locality";"coordinates_N";"coordinates_E";"year_start";"year_end";"elevation";"elevation_DEM";"study_design";"study_design_comments";"experimental_design";"study_method";"study_method_comments";"exposure_quantification";"exposure_quantification_comments";"additional_exposures";"additional_treatments_comments";"extent_of_spatial_scale";"spatial_resolution_recorded";"spatial_resolution_reported";"extent_of_temporal_scale";"temporal_resolution";"redundancy";"biological_organization_level_recorded";"biological_organization_recorded_comments";"biological_organization_level_reported";"biological_organization_reported_comments";"identity_of_biological_organization_unit";"management_plant";"conservation_plant";"conservation_plant_comments";"measured_response_variable";"measured_response_comments";"herbivore_identity";"herbivore_type";"herbivore_type_comments";"herbivory_season";"herbivory_season_comment";"effect_type";"effect_type_comments";"management_herbivore";"management_herbivore_comments";"conservation_herbivore";"conservation_herbivore_comments";"management";"management_area";"conservation_study_area";"conservation_study_area_comment";"distance_to_treeline";"temperature";"temperature_measure";"precipitation";"precipitation_measure";"climate_axis_1";"climate_axis_2";"climate_axis_3";"growing_season";"distance_from_coast";"bioclimatic_zone";"soil_type.";"productivity";"productivity_P";"recent_warming";"recent_greening";"extent_of_recent_growing_season_change";"herbivore_diversity";"habitat_type_P";"habitat_type_C";"disturbance";"disturbance_comment";"permafrost";"food_web_context_other_herbivores";"food_web_context_predators";"conservation_focus";"comment";"coding.person";"coding.checked"
"Speed, Cooper, Jónsdóttir, van der Wal, Woodin";"Plant community properties predict vegetation resilience to herbivore disturbance in the Arctic";"Journal of Ecology";"2010";"english";NA;"1340_g";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"3";"once";"not redundant";"population/species";NA;"community";NA;"vascular_plants, moss";"not reported";"not reported";NA;"several";"other measure of abundance, diversity, cover";"Anser_brachyrhynchus";"waterfowl";NA;"spring";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7";"annual_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"salt_marsh";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"experiment replicated in seven communities, reported separately in the results and with different environmental conditions (e.g. soil moisture, Table 1) --> I have separated them into seven evidence points. List of species: Dryas octopetala, Cassiope tetragona, Salix polaris, Equisetum arvense, Bistorta vivipara, Saxifraga oppositifolia, S. hieracifolia, S. hirculus, S. cernua, S. nivalis, Stellaria crassipes, Pedicularis hirsute, Oxyria digyna, Papaver dahlianum, Draba spp, Cochlearia groenlandica, Silene frucata, Cerastium arcticum, Ranunculus hyperboreus, R. sulphurous, Petasites frigidus, Cardamine nymanii, Luzula arctica, L. confusa, Carex misandra, C. subspathacea, Eriophorum scheuchzeri, Poa spp, Alopecurus borealis, Dupontia fisherii, Calamagrostis stricta. Measured response variable: other measure of abundance (vascular seedling density), diversity (species richness, community dissimilarity), cover (moss)";"Bernice Hwang";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_a";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"Dryas_ridge";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_b";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"Cassiope_heath";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_c";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"Luzula_heath";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_d";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"wet_moss";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_e";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"Dupontia_wetland";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Speed, Woodin, Tømmervik, van der Wal";"Extrapolating herbivore-induced carbon loss across an arctic landscape";"Polar Biologiy";"2009";"english";NA;"1341_f";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.1";"2006";"2008";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"not reported";"3";"once";"not redundant";"community";NA;"community";NA;"live_vascular, dead_vascular, moss, roots";"not reported";"not reported";NA;"physiological response";NA;"Anser_brachyrhynchus";"waterfowl";NA;"summer";NA;"disturbance";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"-2.7, 5.9";"annual_mean, summer_mean";"186";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"freshwater_mire";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"Six habitat types (different environmental conditions (soil moisture) and results reported separately) --> I separate into six evidence points. Response variable: C stocks in different compartments (live vascular, dead vascular, moss, roots). Habitat description from CG: Four of these six classes represent goose habitat on Svalbard, along a gradient of increasing soil moisture; (1) barrens consisting of sparsely vegetated areas including polar desert Papaver dahlianum communities and river beds/ flood plains, (2) dry heath vegetation consisting of com- munities characterised by evergreen shrubs, (3) mesic communities including graminoid and deciduous shrub tundras and (4) fens, including wetlands and mire";"Charles Gignac";"Isabel C Barrio"
"Valery, Cadieux, Gauthier";"Spatial heterogeneity of primary production as both cause and consequence of foraging patterns of an expanding Greater Snow Goose colony";"Écoscience";"2010";"english";NA;"1350_a";"Canada";NA;"Bylot Island MNC";"72.903485";"-79.767621";"1998";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"spatial contrast/gradient";NA;"none";NA;"not reported";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"10";"annual";"not redundant";"community";NA;"community";NA;"not relevant";"not reported";"not reported";NA;"biomass";NA;"Chen_caerulescens_atlantica";"waterfowl";NA;"summer";NA;"removal of plant parts";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"polygon_fen";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"three separate evidence points but only one set of coordinates because they report their results separately for the three sites: main nesting area of the colony (MNC), 2 brood rearing areas (BCV and PDR). Exposure quantification set to spatial contrast -- they quantified herbivore presence at each of three sites using pellet transects . Habitat: polygon fens dominated by Dupontia fisheri and Eriophorum scheuchzeri";"Isabel C Barrio";"Isabel C Barrio"
"Valery, Cadieux, Gauthier";"Spatial heterogeneity of primary production as both cause and consequence of foraging patterns of an expanding Greater Snow Goose colony";"Écoscience";"2010";"english";NA;"1350_b";"Canada";NA;"Bylot Island BCV";"72.903485";"-79.767621";"1998";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"spatial contrast/gradient";NA;"none";NA;"not reported";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"10";"annual";"not redundant";"community";NA;"community";NA;"not relevant";"not reported";"not reported";NA;"biomass";NA;"Chen_caerulescens_atlantica";"waterfowl";NA;"summer";NA;"removal of plant parts";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"polygon_fen";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"three separate evidence points but only one set of coordinates because they report their results separately for the three sites: main nesting area of the colony (MNC), 2 brood rearing areas (BCV and PDR). Exposure quantification set to spatial contrast -- they quantified herbivore presence at each of three sites using pellet transects . Habitat: polygon fens dominated by Dupontia fisheri and Eriophorum scheuchzeri";"Isabel C Barrio";"Isabel C Barrio"
"Valery, Cadieux, Gauthier";"Spatial heterogeneity of primary production as both cause and consequence of foraging patterns of an expanding Greater Snow Goose colony";"Écoscience";"2010";"english";NA;"1350_c";"Canada";NA;"Bylot Island PDR";"72.903485";"-79.767621";"1998";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"spatial contrast/gradient";NA;"none";NA;"not reported";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"10";"annual";"not redundant";"community";NA;"community";NA;"not relevant";"not reported";"not reported";NA;"biomass";NA;"Chen_caerulescens_atlantica";"waterfowl";NA;"summer";NA;"removal of plant parts";NA;"non-managed";NA;"increased/range expansion";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"polygon_fen";NA;"not reported";NA;NA;"not reported";"not reported";"not reported";"three separate evidence points but only one set of coordinates because they report their results separately for the three sites: main nesting area of the colony (MNC), 2 brood rearing areas (BCV and PDR). Exposure quantification set to spatial contrast -- they quantified herbivore presence at each of three sites using pellet transects . Habitat: polygon fens dominated by Dupontia fisheri and Eriophorum scheuchzeri";"Isabel C Barrio";"Isabel C Barrio"
"Dahlgren,Oksanen, Oksanen, Olofsson, Hamback, Lindgren";"Plant defences to no avail? Responses of plants of varying edibility to food web manipulations in a low arctic scrubland";"Evolutionary Ecology Research";"2009";"english";NA;"1399_a";"Norway";NA;"Iesjávri";"69.75166667";"24.5";"2000";"2003";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"spatial contrast/gradient";NA;"other";"predator presence";"not reported";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"4";"not reported";"not redundant";"population/species";NA;"several";"population/species, groups of species";"Rubus_chamaemorus, Cornus_suecica, Vaccinium_myrtillus, Vaccinium_uliginosum, Betula_nana, Vaccinium_microcarpum, Vaccinium_vitis-idaea, Empetrum_nigrum, Andromeda_polifolia, herbaceous_dicotyledons, deciduous_dwarf_shrubs, evergreen_ericoids";"not reported";"not reported";NA;"biomass";NA;"Myodes_rufocanus";"small rodents and pikas";NA;"winter";NA;"removal of plant parts";NA;"other";"experimentally introduced";"not reported";NA;"not reported";"not reported";"not reported";NA;NA;"not reported";"not reported";"100";"winter_precipitation";NA;NA;NA;NA;NA;NA;NA;NA;"productive_sites";NA;NA;NA;NA;"scrubland";NA;"not reported";NA;NA;"mentioned";"mentioned";"not reported";"Exposure quantification: spatial contrast -- Islands in which voles were or were not present (due to experimental introduction). Originally this was reported as two evidence points, because they were reporting results at two levels (functional groups and species level) --> I merge into one";"Amanda Koltz";"Isabel C Barrio"
"Gornall, Woodin, Jónsdóttir, Van der Wal";"Herbivore impacts to the moss layer determine tundra ecosystem response to grazing and warming";"Oecologia";"2009";"english";NA;"1416_a";"Svalbard/Jan Mayen";NA;"Adventdalen";"78.16666667";"16.11666667";"2002";"2004";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"warming";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"3";"once";"not redundant";"groups of species";NA;"groups of species";NA;"shrubs, grasses, mosses";"not reported";"not reported";NA;"biomass";NA;"Branta_leucopsis";"waterfowl";NA;"not reported";NA;"several";"removal of plant parts, fertilization, disturbance";"other";"not reported";"no concern";NA;"not reported";"not reported";"not reported";NA;NA;"-5";"annual_mean";"190";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"heath_tundra";NA;"not reported";NA;NA;"mentioned";"not reported";"not reported";"Simulated herbivory treatment included clipping and feces addition, and moss removal. Detailed habitat description: tundra  heath  ecosystem (dwarf shrub–grass tundra heath with total vascular plant cover of approximately 35%. Salix polaris is the dominant vascular species, with relatively high cover of Alopecurus  borealis  and  Bistorta  vivipara  and  occasional occurrence of Luzula confusa and Stellaria crassipes growing  interspersed  among  a  continuous  moss  mat  of  around 4–6 cm depth. The dominant moss in the area is Tomentypnum nitens with some Sanionia uncinata)";"Isabel C Barrio";"Isabel C Barrio"
"Hofgaard, Dalen, Hytteborn";"Tree recruitment above the treeline and potential for climate-driven treeline change";"Journal of Vegetation Science";"2009";"english";NA;"1423_a";"Sweden";NA;"Abisko";"68.16666667";"18.66666667";"1999";"2000";"752_1000";NA;"observational";NA;"not relevant";"field";NA;"spatial contrast/gradient";NA;"not relevant";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"2";"once";"not redundant";"individual";NA;"individual";NA;"Betula_pubescens_tortuosa";"not reported";"not reported";NA;"morphological measure";NA;"Rangifer_tarandus, Alces_alces, Lepus_timidus, Lagopus_spp., invertebrate_herbivores";"several";"other vertebrates, defoliating insects";"not reported";NA;"removal of plant parts";NA;"several";"semi-domesticated, not reported";"not reported";NA;"managed herbivore";"not reported";"not reported";NA;NA;"-0.5";"annual_mean";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath, lichen_heath";NA;"insect outbreaks (when outbreaks not in focus)";NA;NA;"mentioned";"not reported";"not reported";"Also mean summer temperature reported; 9.8. Study area size unclear, may also be one category smaller.";"Eeva Soininen";"Isabel C Barrio"
"Hofgaard, Dalen, Hytteborn";"Tree recruitment above the treeline and potential for climate-driven treeline change";"Journal of Vegetation Science";"2009";"english";NA;"1423_b";"Norway";NA;"Joatka";"69.66666667";"23.83333333";"1999";"2000";"468_570";NA;"observational";NA;"not relevant";"field";NA;"spatial contrast/gradient";NA;"not relevant";NA;"from 10x10 km to 100x100 km";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"2";"once";"not redundant";"individual";NA;"individual";NA;"Betula_pubescens_tortuosa";"not reported";"not reported";NA;"morphological measure";NA;"Rangifer_tarandus, Alces_alces, Lepus_timidus, Lagopus_spp., invertebrate_herbivores";"several";"other vertebrates, defoliating insects";"several";"summer, autumn, not reported";"removal of plant parts";NA;"several";"semi-domesticated, not reported";"not reported";NA;"managed herbivore";"not reported";"not reported";NA;NA;"-2.2999999999999998";"annual_mean";"not reported";"not reported";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"dwarf_shrub_heath, lichen_heath";NA;"insect outbreaks (when outbreaks not in focus)";NA;NA;"mentioned";"not reported";"not reported";"Also mean summer temperature reported; 9.9. Study area size unclear, may also be one category smaller.";"Eeva Soininen";"Isabel C Barrio"
"Olofsson";"Effects of Simulated Reindeer Grazing, Trampling, and Waste Products on Nitrogen Mineralization and Primary Production";"Arctic, Antarctic, and Alpine Research";"2009";"english";NA;"1443_a";"Sweden";NA;"Kärkevagge";"68.41666667";"18.31666667";"2002";"2005";"630_720";NA;"experimental";NA;"control-impact";"field";NA;"simulated herbivory";NA;"none";NA;"1x1 km or less";"up to  1x1 m (including 1x1 m)";"up to  1x1 m (including 1x1 m)";"4";"regular with intervals shorter than a year";"not redundant";"population/species";NA;"community";NA;"vascular_plant, moss, roots";"not reported";"no concern";NA;"several";"biomass, productivity";"Rangifer_tarandus";"other vertebrates";NA;"summer";NA;"several";"removal of plant parts, disturbance, fertilizing";"semi-domesticated";NA;"no concern";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"-1.4";"annual_mean";"848";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"not reported";NA;NA;NA;NA;"alpine_meadow";NA;"rodent outbreaks (when rodents not in focus)";NA;NA;"mentioned";"not reported";"not reported";"same experimental design as in Olofsson and Shams (2007) for species richness and Sørensen et al. (2008) for PSFs. Measured response variables: biomass (above-ground biomass,root biomass), productivity (above-ground net primary production (AGNPP), below-ground net primary production (BGNPP)). Herbivore effects: removal of plant parts, disturbance (trampling), fertilizing (urine and feces) -- all simulated in the experiment";"Maria Tuomi";"Isabel C Barrio"
"Olofsson, Oksanen, Callaghan, Hulme, Oksanen, Suominen";"Herbivores inhibit climate-driven shrub expansion on the tundra";"Global Change Biology";"2009";"english";NA;"1444_a";"Norway";NA;"Joatka";"69.75305556";"24.00277778";"1998";"2007";"450";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"10";"irregular with intervals longer than a year";"partly redundant";"several";"population/species, groups of species";"several";"population/species, groups of species, community";"Betula_nana, Avenella_flexuosa, Empetrum_nigrum, Vaccinium_myrtillus, Vaccinium_uliginosum, Vaccinium_vitis-idaea, mosses, lichens, liverworts";"managed grazing";"no concern";NA;"several";"biomass, cover, morphological measure";"Myodes_rufocanus, Rangifer_tarandus";"several";"small rodents and pikas, other vertebrates";"several";"spring, autumn, not reported";"removal of plant parts";NA;"several";"non-managed, semi-domesticated";"no concern";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"-2.4";"annual_mean";"354";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"heathland";NA;"not reported";NA;NA;"not reported";"not reported";"mentioned";"The study originally included forest and heathland plots -- only heathland included here. Low productivity sites (nutrient-poor bedrock). Organization level: population/species (vascular plants), groups of species (mosses, lichens and liverworts). Measured response: biomass estimates (of vascular plants), cover (of cryptogams), morphological measure (height of Betula nana)";"Maria Tuomi";"Isabel C Barrio"
"Olofsson, Oksanen, Callaghan, Hulme, Oksanen, Suominen";"Herbivores inhibit climate-driven shrub expansion on the tundra";"Global Change Biology";"2009";"english";NA;"1444_b";"Norway";NA;"Seiland";"70.50611111";"23.52805556";"1998";"2007";"100";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"10";"irregular with intervals longer than a year";"partly redundant";"several";"population/species, groups of species";"several";"population/species, groups of species, community";"Betula_nana, Avenella_flexuosa, Empetrum_nigrum, Vaccinium_myrtillus, Vaccinium_uliginosum, Vaccinium_vitis-idaea, mosses, lichens, liverworts";"managed grazing";"no concern";NA;"several";"biomass, cover, morphological measure";"Myodes_rufocanus, Rangifer_tarandus";"several";"small rodents and pikas, other vertebrates";"several";"spring, autumn, not reported";"removal of plant parts";NA;"several";"non-managed, semi-domesticated";"no concern";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"1.3";"annual_mean";"734";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"heathland";NA;"insect outbreaks (when outbreaks not in focus)";NA;NA;"not reported";"not reported";"mentioned";"The study originally included forest and heathland plots -- only heathland included here. Low productivity sites (nutrient-poor bedrock). Organization level: population/species (vascular plants), groups of species (mosses, lichens and liverworts). Measured response: biomass estimates (of vascular plants), cover (of cryptogams), morphological measure (height of Betula nana)";"Maria Tuomi";"Isabel C Barrio"
"Olofsson, Oksanen, Callaghan, Hulme, Oksanen, Suominen";"Herbivores inhibit climate-driven shrub expansion on the tundra";"Global Change Biology";"2009";"english";NA;"1444_c";"Sweden";NA;"Abisko";"68.32305556";"18.86583333";"1998";"2007";"not reported";NA;"experimental";NA;"control-impact";"field";NA;"exclosure";NA;"none";NA;"from 1x1 km to 10x10 km";"up to  1x1 m (including 1x1 m)";"from  1x1 m to 10x10 m (including 10x10m)";"10";"annual";"partly redundant";"several";"population/species, groups of species";"several";"population/species, groups of species, community";"Betula_nana, Avenella_flexuosa, Empetrum_nigrum, Vaccinium_myrtillus, Vaccinium_uliginosum, Vaccinium_vitis-idaea, mosses, lichens, liverworts";"managed grazing";"no concern";NA;"several";"biomass, cover, morphological measure";"Myodes_rufocanus, Rangifer_tarandus, Lemmus_lemmus";"several";"small rodents and pikas, other vertebrates";"several";"spring, autumn, not reported";"removal of plant parts";NA;"several";"non-managed, semi-domesticated";"no concern";NA;"managed herbivore";"historical and current";"common habitat";NA;NA;"-0.8";"annual_mean";"304";"annual_mean";NA;NA;NA;NA;NA;NA;NA;NA;"low_productivity_sites";NA;NA;NA;NA;"heathland";NA;"insect outbreaks (when outbreaks not in focus)";NA;NA;"not reported";"not reported";"mentioned";"The study originally included forest and heathland plots -- only heathland included here. Low productivity sites (nutrient-poor bedrock). Organization level: population/species (vascular plants), groups of species (mosses, lichens and liverworts). Measured response: biomass estimates (of vascular plants), cover (of cryptogams), morphological measure (height of Betula nana)";"Maria Tuomi";"Isabel C Barrio"
